Country,Link
United kingdom  , https://image.flaticon.com/icons/svg/197/197374.svg 
United States  , https://image.flaticon.com/icons/svg/197/197484.svg 
France  , https://image.flaticon.com/icons/svg/197/197560.svg 
Germany  , https://image.flaticon.com/icons/svg/197/197571.svg 
Spain  , https://image.flaticon.com/icons/svg/197/197593.svg 
China  , https://image.flaticon.com/icons/svg/197/197375.svg 
Italy  , https://image.flaticon.com/icons/svg/197/197626.svg 
Japan  , https://image.flaticon.com/icons/svg/197/197604.svg 
Brazil  , https://image.flaticon.com/icons/svg/197/197386.svg 
South korea  , https://image.flaticon.com/icons/svg/197/197582.svg 
Russia  , https://image.flaticon.com/icons/svg/197/197408.svg 
European union  , https://image.flaticon.com/icons/svg/197/197615.svg 
Canada  , https://image.flaticon.com/icons/svg/197/197430.svg 
Australia  , https://image.flaticon.com/icons/svg/197/197507.svg 
India  , https://image.flaticon.com/icons/svg/197/197419.svg 
Thailand  , https://image.flaticon.com/icons/svg/197/197452.svg 
Singapore  , https://image.flaticon.com/icons/svg/197/197496.svg 
Vietnam  , https://image.flaticon.com/icons/svg/197/197473.svg 
Switzerland  , https://image.flaticon.com/icons/svg/197/197540.svg 
Sweden  , https://image.flaticon.com/icons/svg/197/197564.svg 
Finland  , https://image.flaticon.com/icons/svg/197/197585.svg 
Mexico  , https://image.flaticon.com/icons/svg/197/197397.svg 
Georgia  , https://image.flaticon.com/icons/svg/197/197380.svg 
Netherlands  , https://image.flaticon.com/icons/svg/197/197441.svg 
Turkey  , https://image.flaticon.com/icons/svg/197/197518.svg 
Belgium  , https://image.flaticon.com/icons/svg/197/197583.svg 
Poland  , https://image.flaticon.com/icons/svg/197/197529.svg 
Portugal  , https://image.flaticon.com/icons/svg/197/197463.svg 
Argentina  , https://image.flaticon.com/icons/svg/197/197573.svg 
Chile  , https://image.flaticon.com/icons/svg/197/197586.svg 
Malaysia  , https://image.flaticon.com/icons/svg/197/197581.svg 
Indonesia  , https://image.flaticon.com/icons/svg/197/197559.svg 
Colombia  , https://image.flaticon.com/icons/svg/197/197575.svg 
Romania  , https://image.flaticon.com/icons/svg/197/197587.svg 
Israel  , https://image.flaticon.com/icons/svg/197/197577.svg 
Taiwan  , https://image.flaticon.com/icons/svg/197/197557.svg 
Hong kong  , https://image.flaticon.com/icons/svg/197/197570.svg 
Denmark  , https://image.flaticon.com/icons/svg/197/197565.svg 
Philippines  , https://image.flaticon.com/icons/svg/197/197561.svg 
Austria  , https://image.flaticon.com/icons/svg/197/197447.svg 
Peru  , https://image.flaticon.com/icons/svg/197/197563.svg 
South africa  , https://image.flaticon.com/icons/svg/197/197562.svg 
Ukraine  , https://image.flaticon.com/icons/svg/197/197572.svg 
Norway  , https://image.flaticon.com/icons/svg/197/197579.svg 
United arab emirates  , https://image.flaticon.com/icons/svg/197/197569.svg 
Czech republic  , https://image.flaticon.com/icons/svg/197/197576.svg 
Greece  , https://image.flaticon.com/icons/svg/197/197566.svg 
Ireland  , https://image.flaticon.com/icons/svg/197/197567.svg 
England  , https://image.flaticon.com/icons/svg/197/197485.svg 
Jamaica  , https://image.flaticon.com/icons/svg/197/197611.svg 
,
Venezuela , https://image.flaticon.com/icons/png/512/197/197580.png 
Saudi arabia , https://image.flaticon.com/icons/png/512/197/197578.png 
Hungary , https://image.flaticon.com/icons/png/512/197/197584.png 
Uruguay , https://image.flaticon.com/icons/png/512/197/197599.png 
Egypt , https://image.flaticon.com/icons/png/512/197/197558.png 
Iceland , https://image.flaticon.com/icons/png/512/197/197596.png 
Cameroon , https://image.flaticon.com/icons/png/512/197/197531.png 
Croatia , https://image.flaticon.com/icons/png/512/197/197503.png 
Slovakia , https://image.flaticon.com/icons/png/512/197/197592.png 
Malawi , https://image.flaticon.com/icons/png/512/197/197384.png 
Costa rica , https://image.flaticon.com/icons/png/512/197/197506.png 
Ecuador , https://image.flaticon.com/icons/png/512/197/197588.png 
Iran , https://image.flaticon.com/icons/png/512/197/197574.png 
Turkmenistan , https://image.flaticon.com/icons/png/512/197/197444.png 
Morocco , https://image.flaticon.com/icons/png/512/197/197551.png 
Panama , https://image.flaticon.com/icons/png/512/197/197590.png 
Democratic republic of congo , https://image.flaticon.com/icons/png/512/197/197378.png 
Paraguay , https://image.flaticon.com/icons/png/512/197/197376.png 
Cambodia , https://image.flaticon.com/icons/png/512/197/197505.png 
Pitcairn islands , https://image.flaticon.com/icons/png/512/197/197468.png 
Pakistan , https://image.flaticon.com/icons/png/512/197/197606.png 
Bulgaria , https://image.flaticon.com/icons/png/512/197/197502.png 
Lithuania , https://image.flaticon.com/icons/png/512/197/197612.png 
Honduras , https://image.flaticon.com/icons/png/512/197/197610.png 
El Salvador , https://image.flaticon.com/icons/png/512/197/197622.png 
Tunisia , https://image.flaticon.com/icons/png/512/197/197624.png 
Cyprus , https://image.flaticon.com/icons/png/512/197/197607.png 
Nauru , https://image.flaticon.com/icons/png/512/197/197464.png 
Serbia , https://image.flaticon.com/icons/png/512/197/197602.png 
Myanmar , https://image.flaticon.com/icons/png/512/197/197609.png 
Slovenia , https://image.flaticon.com/icons/png/512/197/197633.png 
Luxembourg , https://image.flaticon.com/icons/png/512/197/197614.png 
Nigeria , https://image.flaticon.com/icons/png/512/197/197627.png 
Botswana , https://image.flaticon.com/icons/png/512/197/197510.png 
Estonia , https://image.flaticon.com/icons/png/512/197/197379.png 
Algeria , https://image.flaticon.com/icons/png/512/197/197511.png 
Latvia , https://image.flaticon.com/icons/png/512/197/197605.png 
Laos , https://image.flaticon.com/icons/png/512/197/197568.png 
North korea , https://image.flaticon.com/icons/png/512/197/197600.png 
Bangladesh , https://image.flaticon.com/icons/png/512/197/197509.png 
Belarus , https://image.flaticon.com/icons/png/512/197/197527.png 
Northern cyprus , https://image.flaticon.com/icons/png/512/197/197421.png 
Kazakhstan , https://image.flaticon.com/icons/png/512/197/197603.png 
Iraq , https://image.flaticon.com/icons/png/512/197/197630.png 
Azerbaijan , https://image.flaticon.com/icons/png/512/197/197512.png 
Bolivia , https://image.flaticon.com/icons/png/512/197/197504.png 
Qatar , https://image.flaticon.com/icons/png/512/197/197618.png 
Cuba , https://image.flaticon.com/icons/png/512/197/197508.png 
Senegal , https://image.flaticon.com/icons/png/512/197/197377.png 
Jordan,https://image.flaticon.com/icons/png/512/197/197595.png 
Ethiopia , https://image.flaticon.com/icons/png/512/197/197636.png 
Brunei , https://image.flaticon.com/icons/png/512/197/197530.png 
Scotland , https://image.flaticon.com/icons/png/512/197/197601.png 
Nepal , https://image.flaticon.com/icons/png/512/197/197387.png 
Guatemala , https://image.flaticon.com/icons/png/512/197/197597.png 
Bahrain , https://image.flaticon.com/icons/png/512/197/197521.png 
Armenia , https://image.flaticon.com/icons/png/512/197/197516.png 
Sri lanka , https://image.flaticon.com/icons/png/512/197/197398.png 
Kuwait , https://image.flaticon.com/icons/png/512/197/197459.png 
Dominican republic , https://image.flaticon.com/icons/png/512/197/197619.png 
Kenya , https://image.flaticon.com/icons/png/512/197/197608.png 
Palestine , https://image.flaticon.com/icons/png/512/197/197467.png 
Nicaragua , https://image.flaticon.com/icons/png/512/197/197623.png 
Syria , https://image.flaticon.com/icons/png/512/197/197598.png 
Lebanon , https://image.flaticon.com/icons/png/512/197/197629.png 
Uzbekistán , https://image.flaticon.com/icons/png/512/197/197416.png 
Fiji , https://image.flaticon.com/icons/png/512/197/197492.png 
Puerto rico , https://image.flaticon.com/icons/png/512/197/197632.png 
Cocos island , https://image.flaticon.com/icons/png/512/197/197555.png 
Republic of the congo , https://image.flaticon.com/icons/png/512/197/197396.png 
Chad , https://image.flaticon.com/icons/png/512/197/197542.png 
Malta , https://image.flaticon.com/icons/png/512/197/197625.png 
Ghana , https://image.flaticon.com/icons/png/512/197/197381.png 
Gibraltar , https://image.flaticon.com/icons/png/512/197/197451.png 
Albania , https://image.flaticon.com/icons/png/512/197/197520.png 
Ossetia , https://image.flaticon.com/icons/png/512/197/197466.png 
Kosovo , https://image.flaticon.com/icons/png/512/197/197486.png 
Oman , https://image.flaticon.com/icons/png/512/197/197635.png 
Bosnia and herzegovina , https://image.flaticon.com/icons/png/512/197/197524.png 
Afghanistan , https://image.flaticon.com/icons/png/512/197/197515.png 
Tanzania , https://image.flaticon.com/icons/png/512/197/197634.png 
Mozambique , https://image.flaticon.com/icons/png/512/197/197631.png 
Ivory coast , https://image.flaticon.com/icons/png/512/197/197391.png 
Angola , https://image.flaticon.com/icons/png/512/197/197513.png 
Mongolia , https://image.flaticon.com/icons/png/512/197/197385.png 
Melilla , https://image.flaticon.com/icons/png/512/197/197461.png 
Monaco , https://image.flaticon.com/icons/png/512/197/197594.png 
Liechtenstein , https://image.flaticon.com/icons/png/512/197/197420.png 
Republic of macedonia , https://image.flaticon.com/icons/png/512/197/197413.png 
Moldova , https://image.flaticon.com/icons/png/512/197/197405.png 
Uganda , https://image.flaticon.com/icons/png/512/197/197628.png 
Kyrgyzstan , https://image.flaticon.com/icons/png/512/197/197428.png 
Zimbabwe , https://image.flaticon.com/icons/png/512/197/197394.png 
